model_name,runtime,load,params
GC,109.35894540841434,0.0625,"(15,)"
MSGC,103.72715488679266,0.007543103448275862,"(1, 2, 27)"
No Coding,122.63817090550373,0.00390625,()
SRSGC,105.92499673415357,0.05078125,"(2, 3, 23)"
