model_name,runtime,load,params
GC,26.44883442392415,0.04296875,"(10,)"
MSGC,25.67624761882938,0.007512019230769231,"(1, 2, 24)"
No Coding,29.613962211309303,0.00390625,()
SRSGC,25.659170383210668,0.03515625,"(4, 9, 22)"
