model_name,runtime,load,params
GC,54.075882688561784,0.046875,"(11,)"
MSGC,51.80194592379168,0.007543103448275862,"(1, 2, 27)"
No Coding,60.0393199226186,0.00390625,()
SRSGC,53.59094981650864,0.04296875,"(2, 3, 20)"
