,model_name,runtime,load,params
0,GC,60.3832779452372,0.0078125,"(1,)"
1,GC,60.5900188195522,0.01171875,"(2,)"
2,GC,60.942575792736264,0.015625,"(3,)"
3,GC,60.901469724402304,0.01953125,"(4,)"
4,GC,60.77011795606835,0.0234375,"(5,)"
5,GC,60.15603459791276,0.02734375,"(6,)"
6,GC,58.70133274880461,0.03125,"(7,)"
7,GC,58.62920888499437,0.03515625,"(8,)"
8,GC,57.29103065058832,0.0390625,"(9,)"
9,GC,55.09933832296784,0.04296875,"(10,)"
10,GC,54.075882688561784,0.046875,"(11,)"
11,GC,54.20835338662631,0.05078125,"(12,)"
12,GC,54.11238059373828,0.0546875,"(13,)"
13,GC,54.757301886148156,0.05859375,"(14,)"
14,GC,54.898892187605455,0.0625,"(15,)"
15,GC,55.55110177096792,0.06640625,"(16,)"
16,GC,55.94534887355614,0.0703125,"(17,)"
17,GC,56.59850305578766,0.07421875,"(18,)"
18,GC,56.88601424819753,0.078125,"(19,)"
19,GC,57.5309355406074,0.08203125,"(20,)"
20,GC,58.17585683301728,0.0859375,"(21,)"
21,GC,58.820778125427154,0.08984375,"(22,)"
22,GC,59.454773890694725,0.09375,"(23,)"
23,GC,60.07144415370041,0.09765625,"(24,)"
24,GC,60.67788562914633,0.1015625,"(25,)"
25,GC,61.27981216872888,0.10546875,"(26,)"
26,GC,61.88057359247841,0.109375,"(27,)"
27,GC,62.473901181495506,0.11328125,"(28,)"
28,GC,63.06722877051259,0.1171875,"(29,)"
29,GC,63.657044692000255,0.12109375,"(30,)"
30,GC,64.23473131235698,0.125,"(31,)"
31,GC,64.81086100024316,0.12890625,"(32,)"
32,GC,65.38699068812932,0.1328125,"(33,)"
33,GC,65.45055194580675,0.13671875,"(34,)"
34,GC,66.03528058425836,0.140625,"(35,)"
35,GC,66.62000922270998,0.14453125,"(36,)"
36,GC,67.20473786116162,0.1484375,"(37,)"
37,GC,67.78518232756008,0.15234375,"(38,)"
38,GC,68.35863819282764,0.15625,"(39,)"
39,GC,68.91803535696427,0.16015625,"(40,)"
40,GC,69.47696714371949,0.1640625,"(41,)"
41,GC,70.03589893047473,0.16796875,"(42,)"
42,GC,70.58612696746903,0.171875,"(43,)"
43,GC,71.12786085309332,0.17578125,"(44,)"
44,GC,71.66959473871762,0.1796875,"(45,)"
45,GC,72.20845294776507,0.18359375,"(46,)"
46,GC,72.73429355568157,0.1875,"(47,)"
47,GC,73.25882954017493,0.19140625,"(48,)"
48,GC,73.77251623984854,0.1953125,"(49,)"
49,GC,74.2657052938068,0.19921875,"(50,)"
50,GC,74.75584547603832,0.203125,"(51,)"
51,GC,75.24488707830017,0.20703125,"(52,)"
52,GC,75.72642830996621,0.2109375,"(53,)"
53,GC,76.20796954163225,0.21484375,"(54,)"
54,GC,76.6895107732983,0.21875,"(55,)"
55,GC,77.16729662273283,0.22265625,"(56,)"
56,GC,77.6402389038334,0.2265625,"(57,)"
57,GC,78.10502520157154,0.23046875,"(58,)"
58,GC,78.56936853210665,0.234375,"(59,)"
59,GC,79.0307500781484,0.23828125,"(60,)"
60,GC,79.48156562305923,0.2421875,"(61,)"
61,GC,79.9287110524634,0.24609375,"(62,)"
62,GC,80.36738084567781,0.25,"(63,)"
63,GC,80.80592732451653,0.25390625,"(64,)"
64,GC,81.24236466603456,0.2578125,"(65,)"
65,GC,81.65414683064932,0.26171875,"(66,)"
66,GC,82.05829750722621,0.265625,"(67,)"
