model_name,runtime,load,params
GC,82.04873074998122,0.05859375,"(14,)"
MSGC,78.05478826563008,0.007543103448275862,"(1, 2, 27)"
No Coding,91.80016573392791,0.00390625,()
SRSGC,79.29992983962825,0.046875,"(2, 3, 22)"
