model_name,runtime,load,params
GC,12.693816507438354,0.0390625,"(9,)"
MSGC,12.993730324507377,0.007512019230769231,"(1, 2, 24)"
No Coding,14.665612905654651,0.00390625,()
SRSGC,12.359896846694518,0.03515625,"(4, 9, 22)"
