,runtime,load,params
MSGC,42.094508782639686,0.007667824074074074,"(1, 2, 52)"
SRSGC,47.359859734448484,0.07421875,"(1, 3, 52)"
GC,53.124309759560305,0.0703125,"(17,)"
No Coding,59.6079189029631,0.00390625,()
